Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2012,D-TAIA,74.2,3.4,0.695,0.033,12.85,0.92
BPI2012,Oyamada-TinyLLM,70.8,3.8,0.658,0.037,14.52,1.05
BPI2012,LSTM,62.5,5.1,0.572,0.049,11.48,0.95
BPI2012,XGBoost,68.4,4.5,0.641,0.043,13.28,1.02
BPI2012,MT-RNN,58.2,6.2,0.528,0.058,18.65,1.35
BPI2017,D-TAIA,72.8,3.1,0.682,0.030,14.22,0.98
BPI2017,Oyamada-TinyLLM,69.5,3.6,0.648,0.035,16.18,1.12
BPI2017,LSTM,63.8,5.4,0.588,0.052,13.05,1.08
BPI2017,XGBoost,67.2,4.8,0.628,0.046,15.42,1.15
BPI2017,MT-RNN,56.5,6.8,0.512,0.063,19.85,1.42
BPI2020_DD,D-TAIA,70.5,3.2,0.661,0.031,11.85,0.82
BPI2020_DD,Oyamada-TinyLLM,68.8,3.5,0.645,0.034,13.42,0.95
BPI2020_DD,LSTM,61.2,4.8,0.565,0.046,14.28,1.15
BPI2020_DD,XGBoost,72.1,4.2,0.678,0.041,11.28,0.98
BPI2020_DD,MT-RNN,55.8,5.9,0.505,0.055,16.52,1.28
BPI2020_ID,D-TAIA,73.4,3.2,0.688,0.031,13.42,0.88
BPI2020_ID,Oyamada-TinyLLM,70.2,4.1,0.658,0.039,15.68,1.05
BPI2020_ID,LSTM,62.8,4.5,0.578,0.043,16.45,1.22
BPI2020_ID,XGBoost,64.5,4.2,0.601,0.040,17.85,1.18
BPI2020_ID,MT-RNN,57.4,6.1,0.518,0.057,21.48,1.52
BPI2020_PTC,D-TAIA,71.8,3.3,0.672,0.032,14.15,0.95
BPI2020_PTC,Oyamada-TinyLLM,73.5,3.8,0.691,0.037,14.85,1.08
BPI2020_PTC,LSTM,63.5,5.2,0.582,0.050,18.92,1.28
BPI2020_PTC,XGBoost,66.8,4.4,0.622,0.042,16.48,1.12
BPI2020_PTC,MT-RNN,55.2,5.8,0.498,0.054,22.35,1.58
BPI2020_RFP,D-TAIA,73.5,3.5,0.688,0.034,15.28,0.98
BPI2020_RFP,Oyamada-TinyLLM,68.8,4.2,0.642,0.040,16.45,1.12
BPI2020_RFP,LSTM,63.2,4.9,0.578,0.047,18.15,1.25
BPI2020_RFP,XGBoost,67.4,4.6,0.632,0.044,17.92,1.08
BPI2020_RFP,MT-RNN,56.8,6.5,0.508,0.061,20.85,1.45
BPI2015_1,D-TAIA,71.8,3.4,0.672,0.033,16.42,1.05
BPI2015_1,Oyamada-TinyLLM,68.5,3.7,0.638,0.036,18.25,1.18
BPI2015_1,LSTM,62.4,5.2,0.571,0.050,21.85,1.45
BPI2015_1,XGBoost,73.5,4.3,0.692,0.042,19.52,1.22
BPI2015_1,MT-RNN,54.8,5.8,0.492,0.053,25.68,1.75
BPI2015_2,D-TAIA,48.5,3.2,0.438,0.035,28.72,1.95
BPI2015_2,Oyamada-TinyLLM,45.8,3.5,0.412,0.038,30.45,2.18
BPI2015_2,LSTM,40.5,5.2,0.374,0.051,33.28,2.42
BPI2015_2,XGBoost,41.2,4.8,0.389,0.047,38.15,2.85
BPI2015_2,MT-RNN,38.5,6.5,0.356,0.061,43.62,3.45
BPI2015_3,D-TAIA,71.2,3.5,0.668,0.034,15.85,1.02
BPI2015_3,Oyamada-TinyLLM,69.5,3.5,0.651,0.034,15.42,1.08
BPI2015_3,LSTM,63.8,5.4,0.581,0.051,19.65,1.38
BPI2015_3,XGBoost,65.2,4.2,0.608,0.040,18.25,1.28
BPI2015_3,MT-RNN,55.5,6.0,0.498,0.056,23.42,1.62
BPI2015_4,D-TAIA,72.8,3.3,0.682,0.032,14.58,0.88
BPI2015_4,Oyamada-TinyLLM,69.8,3.8,0.652,0.037,15.98,1.02
BPI2015_4,LSTM,61.5,5.3,0.562,0.050,20.45,1.42
BPI2015_4,XGBoost,66.4,4.1,0.618,0.039,17.85,1.25
BPI2015_4,MT-RNN,54.2,6.4,0.485,0.059,26.15,1.82
BPI2015_5,D-TAIA,71.5,3.3,0.671,0.032,15.12,0.95
BPI2015_5,Oyamada-TinyLLM,70.8,3.7,0.662,0.036,17.85,1.18
BPI2015_5,LSTM,60.8,5.5,0.551,0.052,19.28,1.32
BPI2015_5,XGBoost,66.8,3.9,0.622,0.037,18.42,1.12
BPI2015_5,MT-RNN,53.8,6.6,0.481,0.061,24.85,1.68
