Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2012,D-TAIA,74.2,3.4,0.695,0.033,12.85,0.92
BPI2012,FT+TinyLLM,70.8,3.8,0.658,0.037,14.52,1.05
BPI2012,LSTM,62.5,5.1,0.572,0.049,11.48,0.95
BPI2012,XGBoost,68.4,4.5,0.641,0.043,13.28,1.02
BPI2012,MT-RNN,58.2,6.2,0.528,0.058,18.65,1.35
BPI2020_DD,D-TAIA,70.5,3.2,0.661,0.031,11.85,0.82
BPI2020_DD,FT+TinyLLM,68.8,3.5,0.645,0.034,13.42,0.95
BPI2020_DD,LSTM,61.2,4.8,0.565,0.046,14.28,1.15
BPI2020_DD,XGBoost,72.1,4.2,0.678,0.041,11.28,0.98
BPI2020_DD,MT-RNN,55.8,5.9,0.505,0.055,16.52,1.28
BPI2020_ID,D-TAIA,73.4,3.2,0.688,0.031,13.42,0.88
BPI2015_2,D-TAIA,48.5,3.2,0.438,0.035,28.72,1.95
BPI2015_2,FT+TinyLLM,45.8,3.5,0.412,0.038,30.45,2.18
BPI2015_2,LSTM,40.5,5.2,0.374,0.051,33.28,2.42
BPI2015_2,XGBoost,41.2,4.8,0.389,0.047,38.15,2.85
BPI2015_2,MT-RNN,38.5,6.5,0.356,0.061,43.62,3.45
