Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2012,D-TAIA,86.2,1.2,0.818,0.012,8.42,0.52
BPI2012,FT+TinyLLM,85.8,1.4,0.814,0.014,9.18,0.58
BPI2012,LSTM,85.1,1.8,0.806,0.018,8.65,0.55
BPI2012,XGBoost,81.4,2.2,0.768,0.022,9.85,0.72
BPI2012,MT-RNN,77.8,2.8,0.731,0.028,11.42,0.88
BPI2017,D-TAIA,86.5,1.0,0.821,0.010,9.15,0.58
BPI2017,FT+TinyLLM,86.2,1.3,0.818,0.013,9.82,0.62
BPI2017,LSTM,84.8,1.9,0.804,0.019,8.28,0.52
BPI2017,XGBoost,82.5,2.0,0.778,0.020,10.45,0.78
BPI2017,MT-RNN,78.2,2.5,0.738,0.025,11.85,0.92
BPI2020_DD,D-TAIA,84.8,1.2,0.804,0.012,8.85,0.55
BPI2020_DD,FT+TinyLLM,83.5,1.5,0.791,0.015,9.62,0.58
BPI2020_DD,LSTM,84.2,2.0,0.799,0.020,9.05,0.62
BPI2020_DD,XGBoost,80.8,2.1,0.762,0.021,10.28,0.75
BPI2020_DD,MT-RNN,76.5,2.9,0.722,0.029,11.15,0.85
BPI2020_ID,D-TAIA,83.5,1.4,0.791,0.014,7.95,0.48
BPI2020_ID,FT+TinyLLM,83.2,1.6,0.788,0.016,9.05,0.62
BPI2020_ID,LSTM,82.4,2.2,0.780,0.022,8.18,0.55
BPI2020_ID,XGBoost,79.5,2.5,0.748,0.025,9.72,0.78
BPI2020_ID,MT-RNN,75.2,3.1,0.710,0.031,11.65,0.95
BPI2020_PTC,D-TAIA,84.9,1.3,0.805,0.013,8.62,0.52
BPI2020_PTC,FT+TinyLLM,84.5,1.6,0.801,0.016,9.15,0.55
BPI2020_PTC,LSTM,82.8,1.8,0.784,0.018,8.85,0.50
BPI2020_PTC,XGBoost,80.2,2.2,0.758,0.022,10.52,0.82
BPI2020_PTC,MT-RNN,76.8,3.0,0.724,0.030,11.28,0.90
BPI2020_RFP,D-TAIA,85.2,1.1,0.808,0.011,9.05,0.58
BPI2020_RFP,FT+TinyLLM,85.5,1.5,0.811,0.015,9.78,0.62
BPI2020_RFP,LSTM,83.1,2.1,0.787,0.021,9.25,0.52
BPI2020_RFP,XGBoost,81.5,2.0,0.771,0.020,10.85,0.75
BPI2020_RFP,MT-RNN,77.5,2.7,0.731,0.027,12.05,0.88
