Dataset;Model;Batch_Size;Learning_Rate;Dropout;Hidden_Dim;Num_Layers;RT_Loss_Weight;Triplet_Weight;Triplet_Margin;N_Estimators;Max_Depth;Child_Weight;LoRA_Rank;LoRA_Alpha;LoRA_Dropout
BPI2012;DATL-TAIA;128;1,00E-03;0.20;N/A;N/A;1.0;0.10;1.0;N/A;N/A;N/A;N/A;N/A;N/A
BPI2012;LSTM;128;1,00E-03;0.20;256;2;1.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2012;MT-RNN;128;1,00E-03;0.20;256;2;1.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2012;XGBoost;N/A;0.05;N/A;N/A;N/A;N/A;N/A;N/A;300;5;3;N/A;N/A;N/A
BPI2012;Oyamada;8;1,00E-04;0.10;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;16;32;0.10
BPI2017;DATL-TAIA;256;2,00E-03;0.15;N/A;N/A;1.0;0.05;1.0;N/A;N/A;N/A;16;32;0.10
BPI2017;LSTM;256;2,00E-03;0.15;512;3;1.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2017;MT-RNN;256;2,00E-03;0.15;512;3;1.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2017;XGBoost;N/A;0.05;N/A;N/A;N/A;N/A;N/A;N/A;500;7;1;N/A;N/A;N/A
BPI2017;Oyamada;16;1,00E-04;0.10;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;32;64;0.10
BPI2015_1;DATL-TAIA;32;5,00E-04;0.30;N/A;N/A;1.0;0.20;2.0;N/A;N/A;N/A;32;64;0.10
BPI2015_1;LSTM;32;5,00E-04;0.40;128;2;2.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2015_1;MT-RNN;32;5,00E-04;0.40;128;2;2.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2015_1;XGBoost;N/A;0.10;N/A;N/A;N/A;N/A;N/A;N/A;200;5;5;N/A;N/A;N/A
BPI2015_1;Oyamada;4;5,00E-05;0.15;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;8;16;0.15
BPI2015_2;DATL-TAIA;32;5,00E-04;0.30;N/A;N/A;1.0;0.20;2.0;N/A;N/A;N/A;8;16;0.15
BPI2015_2;LSTM;32;5,00E-04;0.40;128;2;2.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2015_2;MT-RNN;32;5,00E-04;0.40;128;2;2.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BPI2015_2;XGBoost;N/A;0.10;N/A;N/A;N/A;N/A;N/A;N/A;200;5;5;N/A;N/A;N/A
